"numid","plant.genus","plant.species","plant.spp","frug.taxon","family","frug.genus","frug.species","frug.spp","lat_region","mainisland","old_new_world","year","country","plant.invasive","frug.invasive","plant.iucn.category","frug.iucn.category","feedtrial","germtrial","planting.location","germ.effect","rate.effect","compare.against","fleshy","gut.portion","n.gut","control.portion","n.control","maybe.regurg","ai","bi","ci","di","citation","yi","vi"
"1","Ziziphus","mistol","Ziziphus mistol","reptile","Rhamnaceae","Chelonoidis","chilensis","Chelonoidis chilensis","subtropical","mainland","new world",2002,"Argentina","Not in GISD","Not in GISD","DD","VU","yes","yes","greenhouse/nursery soil","pos",NA,"mechanically cleaned","yes",0.064,200,0.05,200,NA,13,187,10,190,"Varela, O. (2002) Seed Dispersal by Chelonoidis chilensis in the Chaco Dry Woodland of Argentina. Journal of Herpetology.",0.27827971977339,0.187533828400701
"1","Celtis","pallida","Celtis pallida","reptile","Cannabaceae","Chelonoidis","chilensis","Chelonoidis chilensis","subtropical","mainland","new world",2002,"Argentina","Not in GISD","Not in GISD",NA,"VU","yes","yes","greenhouse/nursery soil","no",NA,"mechanically cleaned","yes",0.35,200,0.096,200,NA,70,130,19,181,"Varela, O. (2002) Seed Dispersal by Chelonoidis chilensis in the Chaco Dry Woodland of Argentina. Journal of Herpetology.",1.63501884369316,0.0801344628038434
"2","Acacia","aroma","Acacia aroma","non-flying mammal other than primate","Leguminosae","Cerdocyon","thous","Cerdocyon thous","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD",NA,"LC","yes","yes","field soil","no",NA,"mechanically cleaned","yes",0.333427909,200,0.289652329,200,NA,67,133,58,142,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",0.209727538224054,0.0467278029582811
"2","Acacia","aroma","Acacia aroma","non-flying mammal other than primate","Leguminosae","Lycalopex","gymnocercus","Lycalopex gymnocercus","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD",NA,"LC","yes","yes","field soil","pos",NA,"mechanically cleaned","yes",0.362386598,200,0.289652329,200,NA,72,128,58,142,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",0.32001990215128,0.0459850217203605
"2","Ziziphus","mistol","Ziziphus mistol","non-flying mammal other than primate","Rhamnaceae","Lycalopex","gymnocercus","Lycalopex gymnocercus","subtropical","mainland","new world",2006,"Argentina","Not in GISD","Not in GISD","DD","LC","yes","yes","field soil","pos",NA,"mechanically cleaned","yes",0.160875934,200,0.005091112,200,NA,32,168,1,199,"Varela, O. (2006) Passage time, viability, and germination of seeds ingested by foxes. Journal of Arid Environments. 67. 566-578.",3.63507674812096,1.04222750658052
"3","Geoffroea","decorticans","Geoffroea decorticans","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LC","NT","yes","yes","petri dish (or similar)","pos","no","mechanically cleaned","yes",0.321428571,56,0,56,NA,18,38,0,56,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.99450030950288,2.09772719507233
"3","Ziziphus","mistol","Ziziphus mistol","bird","Rhamnaceae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos","pos","mechanically cleaned","yes",0.173913044,161,0,161,NA,28,133,0,161,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.23345493265696,2.04877030646676
"3","Prosopis","nigra","Prosopis nigra","bird","Leguminosae","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","DD","NT","yes","yes","petri dish (or similar)","pos",NA,"mechanically cleaned","yes",0.238095238,21,0,120,NA,5,16,0,120,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",4.38618464482254,2.25072299761096
"3","Prosopis","alba","Prosopis alba","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD","LR/nt","NT","yes","yes","petri dish (or similar)","no","no","mechanically cleaned","yes",0.105263158,57,0,100,NA,6,51,0,100,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",3.23352527729098,2.18321387833053
"3","Celtis","iguanaea","Celtis iguanaea","bird","unknown","Rhea","americana","Rhea americana","subtropical","mainland","new world",2009,"Argentina","Not in GISD","Not in GISD",NA,"NT","yes","yes","petri dish (or similar)","neg","no","mechanically cleaned","yes",0.12,50,0.068239108,50,NA,6,44,3,47,"Renison, D. (2009) The effect of passage through the gut of the Greater Rhea (Rhea americana) on germination of tree seeds: implications for forest restoration. Emu.",0.759105148351743,0.544003868471954
